timestamp_min,temperature_C,humidity_percent,temperature_rate_C_per_min,condition,time_to_critical_min
629,6.95,66.1,0.0387,Normal,78.77
630,6.9,66.08,-0.0059,Normal,
631,6.94,66.1,0.0439,Normal,69.73
632,6.98,65.87,0.0283,Normal,106.52
633,7.0,65.52,0.0023,Normal,1291.61
634,6.99,65.29,-0.0339,Normal,
635,6.93,65.6,0.0142,Normal,215.81
636,7.02,65.76,-0.0,Normal,
637,6.93,65.68,0.0048,Normal,635.7
638,7.03,65.71,0.1413,Normal,21.05
639,7.21,65.81,0.1005,Normal,27.76
640,7.23,65.73,0.013,Normal,212.95
641,7.24,65.69,0.0337,Normal,82.06
642,7.29,65.93,-0.0031,Normal,
643,7.23,65.6,-0.1049,Normal,
644,7.08,65.73,-0.1176,Normal,
645,7.0,65.19,-0.0286,Normal,
646,7.03,65.81,0.0153,Normal,194.31
647,7.03,66.02,0.003,Normal,981.23
648,7.03,66.0,0.04,Normal,74.11
649,7.11,65.93,0.0475,Normal,60.97
650,7.13,66.01,-0.016,Normal,
651,7.07,66.25,-0.0337,Normal,
652,7.06,66.07,0.0145,Normal,203.25
653,7.1,65.84,0.0226,Normal,128.23
654,7.11,65.84,0.0446,Normal,64.95
655,7.19,65.96,0.0424,Normal,66.16
656,7.19,66.16,0.0546,Normal,51.45
657,7.3,66.3,0.056,Normal,48.16
658,7.3,65.97,-0.0422,Normal,
659,7.22,65.9,-0.067,Normal,
660,7.17,65.85,-0.0221,Normal,
661,7.17,65.98,-0.0006,Normal,
662,7.17,66.1,-0.0002,Normal,
663,7.17,65.61,-0.035,Normal,
664,7.1,65.57,-0.086,Normal,
665,7.0,65.72,0.0128,Normal,233.54
666,7.12,66.03,0.0527,Normal,54.6
667,7.11,66.4,-0.0026,Normal,
668,7.12,66.32,-0.0186,Normal,
669,7.07,66.24,-0.0401,Normal,
670,7.04,66.28,-0.0091,Normal,
671,7.05,66.28,0.0239,Normal,123.4
672,7.09,66.58,0.0555,Normal,52.55
673,7.16,66.21,-0.0642,Normal,
674,6.96,66.44,-0.1568,Normal,
675,6.85,66.39,-0.1015,Normal,
676,6.75,65.94,-0.0251,Normal,
677,6.8,66.13,-0.0014,Normal,
678,6.75,65.48,-0.0449,Normal,
679,6.71,65.58,-0.081,Normal,
680,6.59,65.62,-0.0598,Normal,
681,6.59,65.77,0.0042,Normal,817.97
682,6.6,65.53,0.0526,Normal,64.62
683,6.69,65.49,0.0468,Normal,70.69
684,6.69,65.25,-0.0188,Normal,
685,6.66,65.03,-0.0246,Normal,
686,6.64,65.46,-0.0618,Normal,
687,6.53,65.06,0.004,Normal,873.27
688,6.65,65.0,0.0321,Normal,104.41
689,6.6,65.26,-0.051,Normal,
690,6.55,65.72,0.0029,Normal,1193.41
691,6.6,65.6,0.1134,Normal,29.96
692,6.77,65.45,0.116,Normal,27.81
693,6.83,65.52,0.0818,Normal,38.72
694,6.94,65.91,0.0533,Normal,57.39
695,6.94,65.72,0.0197,Normal,155.44
696,6.98,65.55,0.0989,Normal,30.55
697,7.14,65.59,0.0659,Normal,43.4
698,7.11,65.63,-0.0685,Normal,
699,7.0,65.39,-0.0059,Normal,
700,7.1,65.23,0.0061,Normal,472.63
701,7.01,65.36,0.0056,Normal,537.81
702,7.11,65.54,0.0873,Normal,33.13
703,7.19,65.35,-0.017,Normal,
704,7.08,65.73,-0.0698,Normal,
705,7.05,65.66,0.0402,Normal,73.37
706,7.16,65.8,0.0714,Normal,39.86
707,7.19,66.34,-0.0075,Normal,
708,7.14,66.58,-0.0235,Normal,
709,7.15,66.64,0.0634,Normal,45.02
710,7.27,66.77,0.0827,Normal,33.06
711,7.31,67.04,0.0069,Normal,387.91
712,7.28,66.83,-0.0564,Normal,
713,7.2,66.34,0.0405,Normal,69.27
714,7.36,66.06,0.0734,Normal,35.94
715,7.34,65.99,0.0034,Normal,770.62
716,7.37,66.2,0.0467,Normal,56.32
717,7.44,66.05,0.0277,Normal,92.38
718,7.42,66.12,-0.0166,Normal,
719,7.4,66.52,0.0097,Normal,267.81
720,7.44,66.71,0.0462,Normal,55.38
721,7.5,67.0,0.0338,Normal,74.15
722,7.51,66.68,0.0232,Normal,107.14
723,7.54,66.51,-0.0052,Normal,
724,7.5,66.66,0.0284,Normal,88.03
725,7.6,66.67,0.0619,Normal,38.78
726,7.62,67.09,0.022,Normal,108.05
727,7.64,67.74,0.0323,Normal,73.05
728,7.69,67.3,0.0528,Normal,43.8
729,7.75,67.4,0.0817,Normal,27.54
730,7.85,67.56,0.0461,Normal,46.63
731,7.84,67.26,-0.0139,Normal,
732,7.82,67.05,-0.0316,Normal,
733,7.78,67.19,0.0436,Normal,50.98
734,7.91,67.29,0.019,Normal,110.12
735,7.82,67.4,0.0,Normal,72939.79
736,7.91,67.25,0.0425,Normal,49.12
737,7.9,67.25,-0.0368,Normal,
738,7.84,67.42,-0.0362,Normal,
739,7.83,67.52,-0.0403,Normal,
740,7.76,67.41,-0.0066,Normal,
741,7.82,67.32,0.098,Normal,22.29
742,7.95,67.22,0.0781,Normal,26.21
743,7.97,67.45,-0.0477,Normal,
744,7.86,67.01,-0.1178,Normal,
745,7.74,67.33,-0.0831,Normal,
746,7.69,67.97,-0.0446,Normal,
747,7.65,68.01,0.0391,Normal,60.16
748,7.77,68.51,0.1441,Normal,15.47
749,7.94,68.82,0.1148,Normal,17.99
750,8.0,68.96,0.0323,Normal,61.87
751,8.0,68.83,-0.0327,Normal,
752,7.93,68.83,-0.0395,Normal,
753,7.92,68.71,0.021,Normal,98.78
754,7.98,68.95,0.0314,Normal,64.46
755,7.98,69.32,-0.0421,Normal,
756,7.89,69.27,-0.0743,Normal,
757,7.84,68.81,-0.032,Normal,
758,7.83,68.78,0.0572,Normal,37.94
759,7.95,68.93,0.0196,Normal,104.78
760,7.87,69.4,0.0079,Normal,270.82
761,7.97,69.54,0.0398,Normal,51.15
762,7.95,69.3,-0.0239,Normal,
763,7.92,69.57,0.0264,Normal,78.77
764,8.0,69.96,0.0218,Normal,91.86
765,7.96,69.68,-0.0139,Normal,
766,7.97,69.24,0.0186,Normal,109.25
767,8.0,69.2,-0.0057,Normal,
768,7.96,68.8,0.001,Normal,2056.09
769,8.0,68.67,-0.0272,Normal,
770,7.91,67.95,-0.0479,Normal,
771,7.9,68.39,0.0468,Normal,44.79
772,8.0,68.28,0.0238,Normal,84.0
773,7.95,68.4,-0.064,Normal,
774,7.87,68.47,-0.0093,Normal,
775,7.93,68.78,0.0266,Normal,77.59
776,7.93,68.73,-0.0391,Normal,
777,7.85,68.52,-0.0442,Normal,
778,7.84,68.61,0.0275,Normal,78.7
779,7.91,68.41,0.0816,Normal,25.62
780,8.0,68.35,0.0442,Normal,45.28
781,8.0,68.16,-0.0978,Normal,
782,7.8,68.38,-0.0675,Normal,
783,7.86,68.31,0.0322,Normal,66.45
784,7.87,68.44,-0.0598,Normal,
785,7.74,68.31,-0.0307,Normal,
786,7.81,67.99,0.0435,Normal,50.39
787,7.83,67.65,0.0304,Normal,71.36
788,7.87,67.64,-0.0459,Normal,
789,7.74,67.94,-0.094,Normal,
790,7.68,67.73,-0.0214,Normal,
791,7.7,68.02,-0.0326,Normal,
792,7.61,68.04,-0.0235,Normal,
793,7.65,68.21,0.0242,Normal,97.1
794,7.66,68.12,-0.026,Normal,
795,7.6,68.14,-0.076,Normal,
796,7.51,67.41,-0.0254,Normal,
797,7.55,67.63,-0.0771,Normal,
798,7.36,67.38,-0.0698,Normal,
799,7.41,67.9,0.0256,Normal,101.31
800,7.41,67.71,-0.0065,Normal,
801,7.39,68.06,-0.0332,Normal,
802,7.34,67.86,-0.0451,Normal,
803,7.3,67.62,-0.0144,Normal,
804,7.31,68.03,0.0178,Normal,150.69
805,7.34,67.96,0.0013,Normal,2127.53
806,7.32,67.57,0.0237,Normal,113.49
807,7.39,67.55,0.0281,Normal,92.99
808,7.37,68.35,0.0047,Normal,555.51
809,7.4,68.16,-0.0051,Normal,
810,7.36,68.45,-0.0125,Normal,
811,7.37,68.09,0.0413,Normal,63.66
812,7.44,67.92,0.1117,Normal,22.88
813,7.59,68.19,0.057,Normal,42.18
814,7.56,68.51,-0.0152,Normal,
815,7.56,68.73,0.0221,Normal,110.22
816,7.6,68.52,-0.0064,Normal,
817,7.55,68.77,-0.0391,Normal,
818,7.52,68.67,-0.0516,Normal,
819,7.45,68.78,0.0443,Normal,57.61
820,7.61,68.51,0.0835,Normal,28.6
821,7.61,68.86,-0.0022,Normal,
822,7.61,68.98,-0.0457,Normal,
823,7.52,69.08,-0.05,Normal,
824,7.51,69.33,0.04,Normal,62.27
825,7.6,69.98,0.0707,Normal,33.91
826,7.65,70.06,0.031,Normal,75.91
827,7.67,69.97,0.0213,Normal,109.53
828,7.69,69.9,0.0203,Normal,113.79
829,7.71,70.23,-0.0335,Normal,
830,7.63,70.51,0.0124,Normal,191.14
831,7.73,70.48,-0.0322,Normal,
832,7.56,70.33,-0.033,Normal,
833,7.66,70.32,0.0119,Normal,196.1
834,7.58,70.2,-0.0063,Normal,
835,7.65,70.33,0.0241,Normal,97.55
836,7.63,70.24,-0.0252,Normal,
837,7.6,70.01,0.0489,Normal,49.0
838,7.73,69.93,0.1133,Normal,20.03
839,7.83,70.31,0.0886,Normal,24.51
840,7.91,70.2,0.0561,Normal,37.3
841,7.94,70.2,-0.02,Normal,
842,7.87,70.28,-0.0833,Normal,
843,7.77,70.58,-0.0657,Normal,
844,7.74,70.63,-0.0073,Normal,
845,7.76,70.56,0.0348,Normal,64.39
846,7.81,70.44,0.0583,Normal,37.62
847,7.88,70.11,0.0399,Normal,53.22
848,7.89,70.59,-0.035,Normal,
849,7.81,70.42,-0.0195,Normal,
850,7.85,70.47,0.0346,Normal,62.25
851,7.88,70.59,0.0394,Normal,53.91
852,7.93,70.87,0.0418,Normal,49.64
853,7.96,70.81,0.037,Normal,55.17
854,8.0,71.28,0.0153,Normal,130.73
855,7.99,71.04,0.0,Normal,
856,8.0,71.01,-0.0816,Normal,
857,7.83,71.22,-0.1083,Normal,
858,7.78,71.2,-0.0081,Normal,
859,7.81,71.24,0.0417,Normal,52.57
860,7.87,71.14,0.0489,Normal,43.62
861,7.91,71.07,0.0501,Normal,41.78
862,7.97,71.22,-0.0079,Normal,
863,7.89,71.5,-0.0589,Normal,
864,7.85,71.7,-0.0067,Normal,
865,7.88,72.16,0.0058,Normal,368.77
866,7.86,72.07,-0.0097,Normal,
867,7.86,71.99,0.0312,Normal,68.57
868,7.92,71.59,-0.0101,Normal,
869,7.84,71.32,-0.0041,Normal,
870,7.91,71.75,0.0338,Normal,61.63
871,7.91,71.71,-0.0014,Normal,
872,7.91,72.0,-0.0343,Normal,
873,7.84,72.06,0.0019,Normal,1129.78
874,7.92,72.18,0.0466,Normal,44.73
875,7.93,72.43,-0.1005,Normal,
876,7.71,72.6,-0.1343,Normal,
877,7.66,72.15,-0.0057,Normal,
878,7.7,72.49,0.015,Normal,153.62
879,7.69,72.73,0.059,Normal,39.12
880,7.82,73.06,0.1301,Normal,16.75
881,7.95,73.24,0.0686,Normal,29.84
882,7.96,72.84,-0.0068,Normal,
883,7.94,72.63,0.0207,Normal,99.49
884,8.0,72.59,0.0306,Normal,65.45
885,8.0,72.72,0.0,Normal,
886,8.0,73.15,-0.0249,Normal,
887,7.95,73.2,-0.0546,Normal,
888,7.89,72.87,-0.0542,Normal,
889,7.84,72.86,-0.0416,Normal,
890,7.81,72.68,-0.0734,Normal,
891,7.69,72.66,-0.1164,Normal,
892,7.57,72.85,-0.0569,Normal,
893,7.58,72.49,-0.0091,Normal,
894,7.56,72.3,0.0004,Normal,6129.99
895,7.58,72.64,-0.0622,Normal,
896,7.43,72.67,-0.0814,Normal,
897,7.42,72.83,0.0021,Normal,1215.9
898,7.44,72.65,-0.0042,Normal,
899,7.41,72.45,0.0303,Normal,85.52
900,7.5,72.45,0.1191,Normal,21.02
901,7.65,72.44,0.0477,Normal,49.28
902,7.59,72.06,-0.1005,Normal,
903,7.45,71.66,-0.0614,Normal,
904,7.47,71.79,-0.0526,Normal,
905,7.34,72.01,-0.0826,Normal,
906,7.3,72.05,0.0452,Normal,59.69
907,7.43,72.27,0.0537,Normal,47.76
908,7.41,72.05,-0.0968,Normal,
909,7.24,71.87,-0.0945,Normal,
910,7.22,71.62,-0.0137,Normal,
911,7.21,71.64,-0.0142,Normal,
912,7.19,71.48,-0.0022,Normal,
913,7.21,71.59,-0.0369,Normal,
914,7.12,71.94,-0.0476,Normal,
915,7.11,71.95,0.0244,Normal,118.41
916,7.17,72.01,0.0665,Normal,42.6
917,7.25,72.08,0.0136,Normal,202.12
918,7.2,72.17,-0.0702,Normal,
919,7.1,72.2,-0.0471,Normal,
920,7.1,72.14,-0.0065,Normal,
921,7.09,71.67,-0.0271,Normal,
922,7.05,71.7,-0.0156,Normal,
923,7.06,71.44,0.057,Normal,51.54
924,7.16,71.22,0.0894,Normal,31.74
925,7.24,71.33,0.0129,Normal,213.49
926,7.19,71.77,-0.0736,Normal,
927,7.09,72.0,-0.0077,Normal,
928,7.17,71.84,0.0957,Normal,29.54
929,7.28,71.77,0.0672,Normal,40.39
930,7.31,71.84,0.0062,Normal,436.07
931,7.3,72.04,0.0264,Normal,102.54
932,7.36,71.6,0.0839,Normal,31.46
933,7.46,71.19,0.0935,Normal,27.13
934,7.55,71.47,-0.0023,Normal,
935,7.46,71.37,-0.0879,Normal,
936,7.37,71.31,-0.0565,Normal,
937,7.35,71.51,0.0401,Normal,66.19
938,7.45,71.86,0.0299,Normal,85.17
939,7.41,71.81,-0.0898,Normal,
940,7.27,71.6,-0.0287,Normal,
941,7.35,72.01,-0.0108,Normal,
942,7.25,71.86,-0.0504,Normal,
943,7.25,71.93,-0.0334,Normal,
944,7.18,72.04,-0.0513,Normal,
945,7.15,72.03,0.0029,Normal,985.16
946,7.19,72.03,0.0044,Normal,639.47
947,7.15,72.01,-0.021,Normal,
948,7.15,71.91,-0.0139,Normal,
949,7.13,72.31,0.0121,Normal,237.8
950,7.17,72.24,0.0503,Normal,56.22
951,7.23,72.16,0.0748,Normal,37.07
952,7.32,72.25,0.0426,Normal,62.85
953,7.31,72.36,-0.0671,Normal,
954,7.19,72.08,-0.1106,Normal,
955,7.09,72.12,0.0215,Normal,135.03
956,7.23,72.67,0.0948,Normal,29.22
957,7.28,72.8,-0.0465,Normal,
958,7.14,72.66,-0.1036,Normal,
959,7.07,72.51,-0.0382,Normal,
960,7.06,72.39,-0.0859,Normal,
961,6.9,72.58,-0.1221,Normal,
962,6.82,72.64,0.0401,Normal,79.5
963,6.98,72.41,-0.0182,Normal,
964,6.78,72.33,-0.0572,Normal,
965,6.87,72.82,-0.0051,Normal,
966,6.77,72.95,-0.0678,Normal,
967,6.73,72.92,0.0872,Normal,37.5
968,6.94,72.55,0.1159,Normal,26.37
969,6.96,72.66,0.0536,Normal,56.67
970,7.05,72.69,0.0558,Normal,52.9
971,7.08,72.59,0.0231,Normal,126.68
972,7.1,72.5,0.0356,Normal,81.49
973,7.15,72.41,0.0399,Normal,71.43
974,7.18,72.4,0.0601,Normal,46.96
975,7.27,72.39,-0.0259,Normal,
976,7.12,72.71,-0.1072,Normal,
977,7.05,72.54,-0.0601,Normal,
978,7.0,72.89,-0.1093,Normal,
979,6.83,73.67,-0.0432,Normal,
980,6.92,73.73,0.04,Normal,76.95
981,6.91,73.8,0.0186,Normal,165.48
982,6.96,73.96,0.0431,Normal,70.68
983,7.0,73.98,0.0143,Normal,209.33
984,6.98,73.94,-0.0157,Normal,
985,6.97,74.23,0.0159,Normal,190.09
986,7.02,73.49,0.05,Normal,59.7
987,7.07,73.54,0.0255,Normal,115.01
988,7.07,73.44,0.0442,Normal,66.33
989,7.16,73.68,0.014,Normal,202.35
990,7.1,73.78,-0.0698,Normal,
991,7.02,73.44,-0.0639,Normal,
992,6.97,73.65,0.0131,Normal,232.27
993,7.04,73.78,0.0671,Normal,44.04
994,7.1,73.91,0.0033,Normal,866.57
995,7.05,74.02,0.0064,Normal,463.99
996,7.11,74.21,0.0796,Normal,36.26
997,7.21,74.38,0.0616,Normal,45.29
998,7.24,74.65,0.013,Normal,212.54
999,7.24,74.43,-0.0076,Normal,
1000,7.22,74.25,-0.0335,Normal,
1001,7.17,74.21,-0.0587,Normal,
1002,7.11,74.13,-0.1074,Normal,
1003,6.95,74.19,-0.0757,Normal,
1004,6.95,73.98,0.0264,Normal,115.31
1005,7.01,74.22,-0.0379,Normal,
1006,6.88,74.03,-0.0951,Normal,
1007,6.82,73.79,0.0024,Normal,1319.24
1008,6.88,73.74,0.0226,Normal,137.95
1009,6.86,73.24,0.0148,Normal,211.55
1010,6.91,72.93,0.0278,Normal,111.01
1011,6.92,73.0,0.0568,Normal,54.25
1012,7.03,72.67,-0.0664,Normal,
1013,6.78,72.72,-0.0488,Normal,
1014,6.93,73.03,0.0804,Normal,38.2
1015,6.95,72.91,0.0407,Normal,75.11
1016,7.01,72.66,0.0513,Normal,58.24
1017,7.05,72.79,0.0615,Normal,48.03
1018,7.13,73.48,0.0581,Normal,49.35
1019,7.16,73.35,0.0147,Normal,193.26
1020,7.16,72.91,-0.0288,Normal,
1021,7.11,72.81,-0.0488,Normal,
1022,7.06,72.85,-0.0539,Normal,
1023,7.0,73.13,-0.0329,Normal,
1024,7.0,73.12,-0.0131,Normal,
1025,6.97,73.16,0.0199,Normal,152.22
1026,7.04,72.94,0.0067,Normal,443.38
1027,6.99,72.87,-0.0802,Normal,
1028,6.88,72.66,-0.0729,Normal,
1029,6.84,72.88,-0.0085,Normal,
1030,6.86,72.93,0.0445,Normal,70.48
1031,6.93,72.9,0.0497,Normal,61.84
1032,6.96,72.87,0.0262,Normal,115.87
1033,6.98,72.73,-0.0869,Normal,
1034,6.79,72.69,-0.0406,Normal,
1035,6.9,72.92,0.0955,Normal,32.45
1036,6.98,73.23,0.0422,Normal,71.68
1037,6.98,73.28,-0.0212,Normal,
1038,6.94,73.2,-0.0001,Normal,
1039,6.98,73.5,0.0191,Normal,158.27
1040,6.97,73.39,-0.0056,Normal,
1041,6.97,73.54,-0.0577,Normal,
1042,6.86,72.97,-0.0798,Normal,
1043,6.81,72.66,-0.0423,Normal,
1044,6.77,72.63,-0.0385,Normal,
1045,6.74,72.99,-0.0051,Normal,
1046,6.76,73.06,0.038,Normal,85.27
1047,6.81,72.78,0.0665,Normal,47.96
1048,6.9,72.76,0.0684,Normal,45.39
1049,6.95,72.49,-0.0353,Normal,
1050,6.83,72.7,-0.0471,Normal,
1051,6.86,72.47,-0.0197,Normal,
1052,6.79,72.75,-0.0824,Normal,
1053,6.69,73.16,-0.0836,Normal,
1054,6.62,73.32,-0.0492,Normal,
1055,6.59,73.47,-0.0349,Normal,
1056,6.55,73.43,-0.0201,Normal,
1057,6.55,73.18,0.0313,Normal,110.26
1058,6.61,73.05,0.0205,Normal,165.38
1059,6.59,72.81,-0.1116,Normal,
1060,6.39,72.76,-0.006,Normal,
1061,6.58,72.95,0.0957,Normal,35.71
1062,6.58,72.89,0.0001,Normal,26675.69
1063,6.58,73.02,-0.0463,Normal,
1064,6.49,73.3,-0.0186,Normal,
1065,6.54,73.48,0.0462,Normal,74.88
1066,6.58,73.49,0.0445,Normal,76.95
1067,6.63,73.64,0.0128,Normal,264.01
1068,6.6,73.49,-0.0101,Normal,
1069,6.61,73.88,-0.0455,Normal,
1070,6.51,73.51,-0.043,Normal,
1071,6.53,73.53,0.0135,Normal,256.8
1072,6.54,73.59,-0.002,Normal,
1073,6.52,73.96,-0.073,Normal,
1074,6.39,73.75,-0.0682,Normal,
1075,6.39,73.34,-0.0112,Normal,
1076,6.37,73.76,-0.0062,Normal,
1077,6.37,73.81,-0.0496,Normal,
1078,6.27,73.66,-0.0654,Normal,
1079,6.24,73.58,0.0363,Normal,103.61
1080,6.35,73.72,0.0068,Normal,536.77
1081,6.26,73.78,-0.0245,Normal,
1082,6.3,74.07,0.0832,Normal,44.53
1083,6.42,73.81,0.0308,Normal,116.17
1084,6.36,73.5,-0.0418,Normal,
1085,6.34,73.61,0.0301,Normal,121.47
1086,6.42,73.6,0.0267,Normal,134.13
1087,6.39,73.63,-0.0462,Normal,
1088,6.33,74.16,-0.0977,Normal,
1089,6.2,74.2,0.0166,Normal,228.53
1090,6.36,74.2,0.0733,Normal,49.64
1091,6.34,74.11,-0.0148,Normal,
1092,6.33,74.46,-0.0957,Normal,
1093,6.15,74.84,-0.1454,Normal,
1094,6.04,74.77,-0.0741,Normal,
1095,6.0,74.92,-0.0811,Normal,
1096,5.88,75.04,0.017,Normal,241.86
1097,6.04,74.7,0.0886,Normal,44.73
1098,6.05,74.53,0.0246,Normal,160.25
1099,6.09,74.54,-0.0086,Normal,
1100,6.04,74.66,0.0465,Normal,85.2
1101,6.18,74.61,0.101,Normal,37.82
1102,6.24,74.29,-0.0095,Normal,
1103,6.16,74.4,0.0211,Normal,181.82
1104,6.28,74.49,0.0468,Normal,79.4
1105,6.26,74.49,-0.0625,Normal,
1106,6.16,74.64,-0.0147,Normal,
1107,6.23,74.53,0.0165,Normal,228.82
1108,6.19,74.6,-0.0363,Normal,
1109,6.15,74.58,0.0665,Normal,57.82
1110,6.32,74.52,0.0697,Normal,52.8
1111,6.29,74.36,0.0154,Normal,240.17
1112,6.35,74.31,0.0038,Normal,961.63
1113,6.3,74.64,0.0308,Normal,120.07
1114,6.41,74.49,-0.0179,Normal,
1115,6.27,74.74,-0.102,Normal,
1116,6.21,74.94,-0.1062,Normal,
1117,6.05,75.17,-0.1273,Normal,
1118,5.96,75.35,-0.0479,Normal,
1119,5.96,75.11,-0.0157,Normal,
1120,5.92,75.28,-0.012,Normal,
1121,5.93,75.43,0.0833,Normal,48.83
1122,6.09,75.04,0.1437,Normal,27.19
1123,6.22,75.06,0.0287,Normal,131.53
1124,6.15,74.73,-0.0435,Normal,
1125,6.13,74.96,-0.0127,Normal,
1126,6.12,75.34,-0.0631,Normal,
1127,6.01,75.34,-0.1081,Normal,
1128,5.91,75.43,-0.0146,Normal,
1129,5.98,75.32,-0.0687,Normal,
1130,5.77,75.37,-0.0867,Normal,
1131,5.8,75.47,0.0669,Normal,62.71
1132,5.9,75.2,0.0766,Normal,53.45
1133,5.96,75.5,-0.0439,Normal,
1134,5.82,75.58,-0.0913,Normal,
1135,5.78,75.56,-0.0063,Normal,
1136,5.8,75.44,-0.0131,Normal,
1137,5.75,75.45,-0.0705,Normal,
1138,5.66,75.18,-0.0163,Normal,
1139,5.72,74.89,0.0538,Normal,79.59
1140,5.77,75.01,-0.0424,Normal,
1141,5.63,74.84,-0.0213,Normal,
1142,5.73,74.59,0.0292,Normal,146.4
1143,5.69,74.71,0.0128,Normal,337.81
1144,5.75,74.64,0.0074,Normal,571.28
1145,5.7,75.0,0.0457,Normal,94.08
1146,5.84,75.24,0.073,Normal,56.96
1147,5.85,75.04,-0.0298,Normal,
1148,5.78,75.17,-0.0165,Normal,
1149,5.82,75.52,0.0428,Normal,97.82
1150,5.87,75.15,0.0681,Normal,60.66
1151,5.95,74.9,0.0267,Normal,151.44
1152,5.92,74.96,0.0645,Normal,63.24
1153,6.08,75.74,0.1041,Normal,37.63
1154,6.13,75.69,0.0456,Normal,84.75
1155,6.17,75.91,0.0086,Normal,447.3
1156,6.15,76.36,-0.0036,Normal,
1157,6.17,76.49,0.0358,Normal,106.95
1158,6.22,76.59,0.0602,Normal,62.8
1159,6.29,76.44,0.0112,Normal,330.75
1160,6.24,76.16,-0.0048,Normal,
1161,6.28,76.36,0.0359,Normal,103.71
1162,6.31,76.78,0.0181,Normal,203.78
1163,6.31,76.94,-0.0439,Normal,
1164,6.23,76.85,-0.0158,Normal,
1165,6.28,77.06,0.0161,Normal,231.46
1166,6.26,77.04,-0.0725,Normal,
1167,6.14,76.95,-0.0251,Normal,
1168,6.21,77.1,0.0556,Normal,68.14
1169,6.25,77.11,0.0203,Normal,184.72
1170,6.25,76.94,0.0282,Normal,132.84
1171,6.3,77.05,0.0476,Normal,77.57
1172,6.34,76.92,-0.0665,Normal,
1173,6.17,77.19,-0.1053,Normal,
1174,6.13,76.97,0.0086,Normal,450.32
1175,6.19,76.88,0.0701,Normal,54.33
1176,6.27,77.03,0.0697,Normal,53.43
1177,6.33,76.69,0.0758,Normal,48.42
1178,6.43,76.76,0.0337,Normal,106.04
1179,6.4,76.79,-0.0858,Normal,
1180,6.25,76.89,-0.1122,Normal,
1181,6.17,76.55,-0.1021,Normal,
1182,6.05,76.83,-0.0861,Normal,
1183,6.0,77.22,-0.0466,Normal,
1184,5.96,76.79,-0.0661,Normal,
1185,5.87,77.1,-0.0509,Normal,
1186,5.85,76.96,0.0002,Normal,25152.15
1187,5.87,77.09,0.0511,Normal,80.87
1188,5.96,77.45,0.0303,Normal,133.41
1189,5.93,77.12,-0.0309,Normal,
1190,5.9,77.18,-0.0551,Normal,
1191,5.82,76.94,-0.0248,Normal,
1192,5.85,76.93,0.0151,Normal,275.79
1193,5.85,76.74,-0.0079,Normal,
1194,5.83,76.51,0.0264,Normal,158.01
1195,5.9,76.77,-0.0382,Normal,
1196,5.75,76.54,-0.1337,Normal,
1197,5.63,76.37,-0.0632,Normal,
1198,5.63,76.01,-0.0402,Normal,
1199,5.55,75.76,-0.0937,Normal,
1200,5.44,62.14,-0.0053,Normal,
1201,5.54,61.67,0.1435,Normal,31.05
1202,5.73,62.47,0.0445,Normal,96.11
1203,5.63,62.35,0.0282,Normal,154.94
1204,5.78,62.46,0.0164,Normal,256.73
1205,5.66,62.65,0.0157,Normal,275.88
1206,5.81,62.16,0.2333,Normal,17.94
1207,6.13,62.47,0.0673,Normal,57.46
1208,5.95,61.52,0.0101,Normal,402.06
1209,6.15,61.91,0.0353,Normal,108.98
1210,6.02,62.37,0.0611,Normal,65.18
1211,6.27,62.86,0.0938,Normal,39.72
1212,6.21,62.72,-0.0207,Normal,
1213,6.23,62.71,0.0692,Normal,54.41
1214,6.35,63.09,0.1227,Normal,29.78
1215,6.48,62.95,0.0426,Normal,82.74
1216,6.43,63.1,0.0176,Normal,202.39
1217,6.51,62.42,0.0584,Normal,59.75
1218,6.55,62.93,0.1001,Normal,34.49
1219,6.71,62.88,0.0278,Normal,118.4
1220,6.6,63.02,0.0281,Normal,120.75
1221,6.77,63.12,0.1452,Normal,22.26
1222,6.89,63.51,0.0317,Normal,98.01
1223,6.83,62.9,-0.0184,Normal,
1224,6.86,63.48,0.1417,Normal,22.18
1225,7.12,63.12,0.092,Normal,31.37
1226,7.04,63.89,0.0223,Normal,132.89
1227,7.16,63.52,0.022,Normal,128.95
1228,7.08,63.67,0.0026,Normal,1116.01
1229,7.17,63.0,0.0938,Normal,30.23
1230,7.27,63.27,0.0883,Normal,30.89
1231,7.34,62.97,0.1122,Normal,23.68
1232,7.5,64.05,-0.009,Normal,
1233,7.32,64.04,-0.0108,Normal,
1234,7.48,64.04,0.1352,Normal,18.68
1235,7.59,63.76,0.085,Normal,28.29
1236,7.65,64.28,0.0132,Normal,179.01
1237,7.62,64.09,0.1115,Normal,21.35
1238,7.87,64.19,0.2026,Normal,10.52
1239,8.03,63.74,0.0542,Warning,36.39
1240,7.98,63.96,0.0163,Normal,123.77
1241,8.06,64.05,0.0062,Warning,313.48
1242,7.99,64.62,-0.009,Normal,
1243,8.04,63.58,0.0548,Warning,35.73
1244,8.1,64.45,0.1353,Warning,14.05
1245,8.31,64.29,0.1334,Warning,12.66
1246,8.37,63.76,-0.0134,Warning,
1247,8.28,64.23,0.0027,Warning,637.78
1248,8.37,64.43,0.1054,Warning,15.46
1249,8.5,64.27,0.0701,Warning,21.45
1250,8.51,64.48,-0.0047,Warning,
1251,8.49,64.5,0.0487,Warning,31.09
